코 드,적용일자,품 명,규 격,단 위,상한금액,제조회사,재 질,수입업소,급여구분,구분변경
J4081479,20250401,SAPPHIRE Ⅱ NC CORONARY DILATATION CATHETER,전규격,1EA,696790,ORBUSNEICH MEDICAL SHENZHEN COMPANY LIMITED  ,POLYAMIDE 등,주식회사 오버스니치메디칼코리아,급여,
J4081494,20250401,PANTERA PRO,전규격,1EA,696790,BIOTRONIK AG,POLYAMIDE 12 등,바이오트로닉코리아㈜,급여,
J4081506,20250401,NC SPRINTER,전규격,1EA,696790,MEDTRONIC IRELAND,NYLON(AV100)/ PEBAX/ HDPE등,메드트로닉코리아,급여,
J4081529,20250401,RYUJIN PLUS,전규격,1EA,696790,TERUMO CORPORATION,NYLON12-POLYTETRA METHYLENE GLYCOL CO-POLYMER,한국테루모,급여,
J4081542,20250401,IKAZUCHI REV,전규격,1EA,696790,KANEKA CORPORATION,POLYETHYLENE/ POLYPROPHYLENE,에이엠지코리아,급여,
J4081579,20250401,SAPPHIRE II PRO CORONARY DILATATION CATHETER,전규격,1EA,696790,ORBUSNEICH MEDICAL (SHENZHEN) COMPANY LIMITED,폴리에테르 블록 아마이드 등,주식회사 오버스니치메디칼코리아,급여,
J4081606,20250401,SPRINTER LEGEND,전규격,1EA,681050,MEDTRONIC IRELAND,PEBAX/STAINLESS STEEL 등,메드트로닉코리아,급여,
J4081629,20250401,RYUJIN PLUS OTW PTCA DILATATION CATHETER,전규격,1EA,696790,TERUMO CORPORATION,NYLON12-POLYTETRA METHYLENE GLYCOL CO-POLYMER,한국테루모,급여,
J4081642,20250401,IKAZUCHI ZERO,전규격,1EA,696790,KANEKA CORPORATION,POLYETHYLENE 등,에이엠지코리아,급여,
J4081682,20250401,NC GENOSS PTCA BALLOON CATHETER,전규격,1EA,696790,GENOSS,POLYAMIDE 등,제노스,급여,
J4081713,20250401,EMPIRA NC RX PTCA BALLOON CATHETER,전규격,1EA,696790,CREGANNA-TACTX MEDICAL,POLYAMIDE 등,코디스코리아 유한회사,급여,
J4081729,20250401,HIRYU PTCA DILATATION CATHETER,전규격,1EA,696790,TERUMO CORPORATION,NYLON12/ HYDROPHILIC/ SILICONE,한국테루모,급여,
J4081742,20250401,RAIDEN 3,전규격,1EA,696790,KANEKA CORPORATION,NYLON 12 등,(주)에이엠지코리아,급여,
J4081813,20250401,EMPIRA RX PTCA BALLOON CATHETER,전규격,1EA,696790,CREGANNA-TACTX MEDICAL,POLYAMIDE 등,코디스코리아 유한회사,급여,
J4081829,20250401,TAZUNA PTCA DILATATION CATHETER,전규격,1EA,696790,TERUMO CORPORATION,NYLON 12-POLYTETRA METHYLENE GLYCOL COPOLYMER 외,한국테루모,급여,
J4081913,20250401,NEON PTCA BALLOON CATHETER,전규격,1EA,696790,KANEKA CORPORATION,POLYETHYLENE 등,코디스코리아 유한회사,급여,
J4081929,20250401,ACCUFORCE,전규격,1EA,696790,TERUMO CORPORATION ,NYLON 12 등 ,한국테루모,급여,
J4081942,20250401,ACCUFIX,전규격,1EA,696790,써지바이오,PEBAX 등,써지바이오,급여,
J4081961,20250401,MOZEC RX PTCA BALLOON DILATATION CATHETER,전규격,1EA,696790,MERIL LIFE SCIENCES PVT. LTD,POLYAMIDE/ HYDROPHILIC 코팅 등,메릴사우스코리아 유한회사,급여,
J4081962,20250401,VENAVIS,전규격,1EA,696790,DOTTER,POLYAMIDE12 등,(주)도터,급여,
J4081963,20250401,VENAVIS NC,전규격,1EA,696790,DOTTER,POLYAMIDE 등,(주)도터,급여,
J4082013,20250401,NEON NC PTCA BALLOON CATHETER,전규격,1EA,696790,KANEKA CORPORATION,NYLON 12 등,코디스코리아 유한회사,급여,
J4082021,20250401,FLEXTOME CUTTING BALLOON DEVICE,전규격,1EA,1370280,BOSTON SCIENTIFIC CORPORATION,NYLON등,보스톤사이언티픽코리아,급여,
J4083031,20250401,FLOTRAC SENSOR,전규격,1EA,256520,EDWARDS LIFESCIENCES LLC,POLYCARBONATE등,에드워즈라이프사이언시스코리아,급여,
J4083050,20250401,HIPPOMETRY COMOSET,전규격,1EA,256520,GLOBALUCK,PC/ PE 외,글로벌럭,급여,
J4083051,20250401,PROAQT SENSOR,전규격,1EA,256520,PULSION MEDICAL SYSTEM SE,ABS/ PC/ PP/ PVC 등,(주)게팅게메디칼코리아,급여,
J4083131,20250401,ACUMEN IQ SENSOR,전규격,1EA,320650,EDWARDS LIFESCIENCES LLC,POLYCARBONATE등,에드워즈라이프사이언시스코리아,급여,
J4083150,20250401,HIPPOMETRY COMOSET II,전규격,1SET,256520,GLOBALUCK,PC/ PE 외,글로벌럭(주),급여,
J4086011,20250401,WISEGUIDE PTCA GUIDING CATHETER,전규격,1EA,131660,BOSTON SCIENTIFIC CORPORATION,PEBAX/PTFE,보스톤사이언티픽코리아,급여,
J4086013,20250401,VISTA BRITE TIP PTCA GUIDING CATHETER,전규격,1EA,131660,CORDIS US CORP.,NYLON,코디스코리아 유한회사,급여,
J4086014,20250401,MAC GUIDING CATHETER,전규격,1EA,131660,A & A M.D,POLYURETHANE,에이앤에이엠디,급여,
J4086022,20250401,CORE,전규격,1EA,131660,OSYMED,POLYETHER BLOCK AMIDE 등,오에스와이메드,급여,
J4086071,20250401,RUNWAY GUIDE CATHETERS,전규격,1EA,131660,BOSTON SCIENTIFIC CORPORATION,HYTREL+PTFE+ANITEL+STAINLESS STEEL,보스톤사이언티픽코리아,급여,
J4086106,20250401,LAUNCHER GUIDE CATHETER,전규격,1EA,131660,MEDTRONIC VASCULAR,NYLON 외,메드트로닉코리아,급여,
J4086116,20250401,JSM GUIDING CATHETER,전규격,1EA,131660,JUNGSUNG MEDICAL,POLYURETHANE 등,정성메디칼,급여,
J4086129,20250401,HEARTRAIL,전규격,1EA,119900,TERUMO,POLYESTEL ELASTOMER +STAINLESS STEEL,한국테루모,급여,
J4086145,20250401,SHEATHLESS EAUCATH,전규격,1EA,131660,ASAHI INTECC CO.LTD,POLYAMIDE ELASTOMER등,아사히인텍주식회사 한국영업소,급여,
J4086161,20250401,MACH 1 GUIDING CATHETER ,전규격,1EA,131660,BOSTON SCIENTIFIC CORPORATION,ARNITEL POLYMER/PTFE 등,보스톤사이언티픽코리아(주),급여,
J4086193,20250401,ALVIGUIDE CARDIOVASCULAR GUIDING CATHETER,전규격,1EA,131660,ALVIMEDICA,POLYAMIDE 등,바소케어,급여,
J4086229,20250401,HEARTRAIL-Ⅱ,전규격,1EA,131660,TERUMO CORPORATION,POLYESTER ELASTOMER+STAINLESS STEEL등,한국테루모,급여,
J4086245,20250401,HYPERION ,전규격,1EA,131660,ASAHI INTECC CO./ LTD. MEDICAL DEVISION.,POLYAMIDE ELASTOMER 등,아사히인텍주식회사 한국영업소,급여,
J4086316,20250401,DAON GUIDING CATHETER,전규격,1EA,131660,JUNGSUNG MEDICAL,폴리에테르 블록 아마이드 등,(주)정성메디칼,급여,
J4087001,20250401,GUIDER SOFTIP GUIDING CATHETER,전규격,1EA,179480,BOSTON SCIENTIFIC CORPORATION,POLYETHER-ESTER ELASTOMER,한국스트라이커,급여,
J4087006,20250401,LAUNCHER GUIDE CATHETER,전규격,1EA,179480,MEDTRONIC VASCULAR,NYLON외,메드트로닉코리아,급여,
J4087009,20250401,SUPER ARROW-FLEX AND PERCUTANEOUS SHEATH INTRODUCER,전규격,1EA,179480,ARROW INTERNATIONAL INC,POLYURETHANE/ STAINLESS STEEL 등,케이씨피,급여,
J4087013,20250401,ENVOY GUIDING CATHETER,전규격,1EA,179480,CORDIS,NYLON,한국존슨앤드존슨메디칼,급여,
J4087022,20250401,ENDORAIL,전규격,1EA,179480,OSYMED,POLYURETHANE 등,오에스와이메드,급여,
J4087073,20250401,CHAPERON GUIDING CATHETER,전규격,1EA,179480,MICROVENTION/INC,POLYESTER ELASTOMER/STAINLESS STEEL,마이크로벤션코리아(유),급여,
J4087076,20250401,SHEATHLESS PV,전규격,1EA,179480,ASAHI INTECC(일본) CO./ LTD.,POLYAMIDE ELASTOMER/ BISMUTH TRIOXIDE,아사히인텍주식회사 한국영업소,급여,
J4087082,20250401,FLEXOR GUIDING SHEATH WITH CHECK-FLO HEMOSTASIS VALVE,전규격,1EA,179480,COOK,POLYAMIDE 등,유한회사 쿡메디칼코리아,급여,
J4087094,20250401,FORTRESS,전규격,1EA,179480,CONTRACT MEDICAL INTERNATIONAL GMBH,POLYAMIDE 등,바이오트로닉코리아(주),급여,
J4087102,20250401,SHUTTLE FLEXOR TOUHY-BORST SIDE ARM INTRODUCER SET,전규격,1EA,179480,COOK,POLYAMIDE,유한회사 쿡메디칼코리아,급여,
J4087111,20250401,MACH 1 GUIDING CATHETER,전규격,1EA,179480,BOSTON SCIENTIFIC CORPORATION,ARNITEL POLYMER/PTFE 등,보스톤사이언티픽코리아(주),급여,
J4087113,20250401,VISTA BRITE TIP GUIDING CATHETER,전규격,1EA,179480,CORDIS US CORP.,NYLON,코디스코리아 유한회사,급여,
J4087176,20250401,ASAHI FUBUKI NEUROVASCULAR GUIDING CATHETER,전규격,1EA,179480,ASAHI INTECC CO./LTD. MEDICAL DIVISION.,POLYAMIDE ELASTOMER 등,아사히인텍주식회사 한국영업소,급여,
J4087213,20250401,VISTA BRITE TIP IG INTRODUCER GUIDING CATHETER,전규격,1EA,179480,CORDIS CORPORATION,NYLON + POLYURETHANE,코디스코리아 유한회사,급여,
J4087214,20250401,NAVISEL,전규격,1EA,179480,SEAWON MEDI-TECH,POLYETHER BLOCK AMIDE 등,(주)세원메디텍,급여,
J4088010,20250401,SURFACER,전규격,1EA,4178520,MERIT MEDICAL,스테인리스강 304 SS,한국의료기기안전정보원,급여,
J4090073,20250401,SOFIA PLUS ASPIRATION CATHETER,전규격,1EA,1680030,MICROVENTION/ EUROPE SARL,PEBAX/ POLYURETHANE,마이크로벤션코리아(유),급여,
J4091011,20250401,RENEGADE CATHETER,150CM이상,1EA,353490,BOSTON SCIENTIFIC CORPORATION,PEBAX/NYLON/PTFE,한국스트라이커,급여,
J4091012,20250401,NEUROSLIDER MICROCATHER,전규격,1EA,353490,ACANDIS GMBH,POLYAMIDE/ POLYETHER BLOCK AMIDE 등,(주)솔빛메디칼,급여,
J4091013,20250401,PROWLER CATHETER,150CM이상,1EA,353490,CORDIS,NYLON,한국존슨앤드존슨메디칼,급여,
J4091019,20250401,MONTE/ ANGIO-M CATHETER,전규격,1EA,353490,3AM,POLYURETHANE 등,(주)쓰리에이엠,급여,
J4091020,20250401,NEUROSTAR MICROCATHETER,전규격,1EA,353490,TAEWOONG,POLYAMIDE/ PEBAX 등,(주)태웅메디칼,급여,
J4091024,20250401,VOLANTE MICROCATHETER,전규격,1EA,353490,CGBIO,POLYAMIDE 등,(주)시지바이오,급여,
J4091027,20250401,REBAR REINFORCED MICRO CATHETER,150CM이상,1EA,353490,MICRO THERAPEUTICS,POLYESTER/TEFLON COATING,메드트로닉코리아,급여,
J4091041,20250401,EXCELSIOR CATHETER,150CM이상,1EA,353490,STRYKER NEUROVASCULAR,TFE/PEBAX NYLON,한국스트라이커,급여,
J4091073,20250401,ECHELON MICRO CATHETER,150CM이상,1EA,325090,MICRO THERAPEUTICS INC,POLYETHER BLOCK AMIDE(PEBAX)+NICKEL TITANIUM ALLOY+HYDROPHILIC COATING+PLATINUM-IRIDIUM ALLOY(MARKER BANDS),메드트로닉코리아,급여,
J4091112,20250401,PNOVUS 17 MICRO CATHETER,전규격,1EA,353490,WALLABY MEDICAL/ INC.,NITINOL/ PTFE/ POLYAMIDE 등,(주)솔빛메디칼,급여,
J4091127,20250401,APOLLO ONYX DELIVERY MICRO CATHETER,전규격,1EA,353490,MICRO THERAPEUTICS/ INC.,POLYAMIDE / POLYPROPYLENE등,메드트로닉코리아,급여,
J4091128,20250401,PHENOM CATHETER,전규격,1EA,353490,MICRO THERAPEUTICS/ INC. D/B/A EV3 NEUROVASCULAR,PVC/ 폴리우레탄/ 고밀도 폴리에틸렌 등,메드트로닉코리아,급여,
J4091141,20250401,EXCELSIOR XT-27 MICOR CATHETER,150CM이상,1EA,353490,STRYKER NEUROVASCULAR,POLYAMIDE/PEBAX/STAINLESS STEEL 등,한국스트라이커,급여,
J4091151,20250401,TREVO MICROCATHETER,전규격,1EA,353490,STRYKER NEUROVASCULAR,POLYETHER BLOCK AMIDE 등,한국스트라이커,급여,
J4091173,20250401,MARATHON FLOW DIRECTED MICRO CATHETER,165CM,1EA,353490,MICRO THERAPEUTICS/ INC.,POLYETHER BLOCK AMIDE(PEBAX)+STAINLESS STEEL COIL+ NICKEL- TITANIUM ALLOY+PTFE+ HYDROPHILIC COATING+ PLATINUM-IRIDIUM ALLOY,메드트로닉코리아,급여,
J4091241,20250401,EXCELSIOR XT-17 MICROCATHETER,150CM 이상,1EA,353490,STRYKER NEUROVASCULAR,POLYAMIDE (PEBAX 7233)/ STAINLESS STEEL 등,한국스트라이커,급여,
J4091273,20250401,HEADWAY CATHETER,150CM이상,1EA,353490,MICROVENTION/INC,POLYTETRAFLUOROEHTYHLENE/ POLYETHER BLOCK AMIDE,마이크로벤션코리아(유),급여,
J4091283,20250401,HEADWAY 21 MICROCATHETER (156CM),전규격,1EA,353490,MICROVENTION/INC,POLYTETRAFLUOROEHTYHLENE/ POLYETHER BLOCK AMIDE,마이크로벤션코리아(유),급여,
J4091341,20250401,AXS OFFSET CATHETER,전규격,1EA,353490,STRYKER NEUROVASCULAR,PTFE/ PLATINUM 등,한국스트라이커,급여,
J4091373,20250401,HEADWAY 17 ADVANCED CATHETER,전규격,1EA,353490,MICROVENTION/INC,POLYETHER BLOCK AMIDE COPOLYMER 등,마이크로벤션코리아(유),급여,
J4091673,20250401,WEDGE MICROCATHETER,전규격,1EA,353490,MICROVENTION/ INC.,POLYETHER BLOCK AMIDE 등,마이크로벤션코리아(유),급여,
J4091773,20250401,VIA ,전규격,1EA,353490,MICROVENTION/ INC. ,POLYETHER BLOCK AMID/ POLYTRAFLUOROETHYLENE 등,마이크로벤션코리아(유),급여,
J4092011,20250401,RENEGADE CATHETER,전규격,1EA,306460,BOSTON SCIENTIFIC CORPORATION,PEBAX/NYLON/PTFE,보스톤사이언티픽코리아,급여,
J4092013,20250401,PROWLER CATHETER,150CM 미만,1EA,306460,CORDIS,NYLON,한국존슨앤드존슨메디칼,급여,
J4092014,20250401,J.S MICRO CATHETER,150CM미만,1EA,306460,A & A M.D,POLYETHYLENE,에이앤에이엠디,급여,
J4092016,20250401,MAESTRO MICROCATHETER,150CM미만,1EA,306460,MERIT MEDICAL SYSTEMS/INC,PTFE/ POLYETHERBLOCKAMIDE 등,메리트메디칼코리아,급여,
J4092019,20250401,RADIO STAR MICROCATHETER,전규격,1EA,283210,TAEWOONG,POLYETHER/NYLON/PVC,태웅메디칼,급여,
J4092021,20250401,MONTE,150CM 미만,1EA,306460,3AM,폴리우레탄 등,(주)쓰리에이엠,급여,
J4092027,20250401,REBAR REINFORCED MICRO CATHETER,150CM미만,1EA,306460,MICRO THERAPEUTICS,POLYESTER/TEFLON COATING,메드트로닉코리아,급여,
J4092061,20250401,RUBICON TM SUPPORT CATHETER,전규격,1EA,306460,BOSTON SCIENTIFIC CORPORATION,POLYAMIDE 등,보스톤사이언티픽코리아,급여,
J4092063,20250401,RADIOMATE,150CM미만,1EA,306460,S&G BIOTECH,POLYETHYLENE +PLATINUM/IRIDIUM,에스앤지바이오텍,급여,
J4092068,20250401,SEEKER CROSSING SUPPORT CATHETER,전규격,1EA,306460,BARD PERIPHERAL VASCULAR/ INC.,고밀도 폴리에틸렌,바드코리아(주),급여,
J4092071,20250401,DIREXION MICROCATHETER,전규격,1EA,306460,BOSTON SCIENTIFIC CORPORATION,POLYAMIDE/ NITINOL 등,보스톤사이언티픽코리아,급여,
J4092074,20250401,SIRABE MICRO CATHETER,150CM미만,1EA,306460,PIOLAX MEDICAL DEVICES/ INC,STAINLESS 등,인터벤션메디칼,급여,
J4092077,20250401,HYBGEN CATHETER,전규격,1EA,306460,ENGAIN,POLYAMIDE 등,(주)엔게인,급여,
J4092089,20250401,GENOSS PERIPHERAL SUPPORT CATHETER,전규격,1EA,305900,GENOSS,POLYAMIDE 등,(주)제노스,급여,
J4092100,20250401,RENEGADE STC-18 MICROCATHETER,전규격,1EA,306460,BOSTON SCIENTIFIC CORPORATION,PEBA/PTFE 등,보스톤사이언티픽코리아(주),급여,
J4092111,20250401,RENEGADE STC-18 MICROCATHETER,전규격,1EA,306460,BOSTON SCIENTIFIC CORPORATION,PEBAX/NYLON/PTFE,보스톤사이언티픽코리아,급여,
J4092116,20250401,PURSUE MICROCATHETER,전규격,1EA,306460,MERIT MEDICAL SYSTEMS/ INC.,POLYAMIDE/ PTFE 등,메리트메디칼코리아(주),급여,
J4092118,20250401,PROGREAT CATHETER WITHOUT GUIDE WIRE,전규격,1EA,306460,TERUMO,POLYURETHANE,한국테루모,급여,
J4092119,20250401,RADIOSTAR MICROCATHETER,전규격,1EA,306460,TAEWOONG,POLYAMIDE 12/ PLATIUM 등,(주)태웅메디칼,급여,
J4092121,20250401,PROBO A,150CM 미만,1EA,306460,3AM,POLY BLOCK AMIDE 등,(주)쓰리에이엠,급여,
J4092127,20250401,TRAILBLAZER,전규격,1EA,306460,EV3 INC,HDPE/ POLYAMIDE 등,메드트로닉코리아,급여,
J4092130,20250401,EQ-MICRO CATHETER,전규격,1EA,306460,HEPATO INC,POLYAMIDE 12/ PLATIUM,㈜헤파토,급여,
J4092163,20250401,RADIOMATEⅡ,전규격,1EA,306460,S&G BIOTECH,PTFE 등,에스앤지바이오텍,급여,
J4092174,20250401,CROSS 1 MICRO CATHETER,전규격,1EA,306460,PIOLAX MEDICAL DEVICES/ INC,POLYAMIDE 12 등,인터벤션메디칼,급여,
J4092176,20250401,ASAHI STRIDE,전규격,1EA,306460,ASAHI INTECC CO./ LTD,POLYURETHANE/AUSTENITIC STAINLESS STEEL (SUS304)등,아사히인텍주식회사 한국영업소,급여,
J4092216,20250401,SURECROSS SUPPORT CATHETER,전규격,1EA,306460,MERIT MEDICAL SYSTEMS/ INC,폴리에틸렌 등,메리트메디칼코리아주식회사,급여,
J4092218,20250401,PROGREAT CATHETER WITH Y-CONNECTOR,전규격,1EA,306460,TERUMO CORPORATION,POLYURETHANE 등,한국테루모,급여,
J4092221,20250401,ANGIO CATHETER,150CM 미만,1EA,306460,THREEAM,폴리에테르 블록 아마이드 등,(주)쓰리에이엠,급여,
J4092274,20250401,CARNELIAN MICRO CATHETER,전규격,1EA,306460,TOKAI MEDICAL PRODUCTS/ INC.,POLYAMIDE 12/ POLYETHER BLOCK AMIDE 등,인터벤션메디칼,급여,
J4092276,20250401,MASTERS PARKWAY HF & SOFT,전규격,1EA,306460,ASAHI INTECC CO./ LTD. MEDICAL DIVISION.,POLYURETHANE 등,아사히인텍주식회사 한국영업소,급여,
J4092282,20250401,CXI SUPPORT CATHETER,전규격,1EA,306460,COOK INCORPORATED,NATURAL POLYTETRAFLUOROETHYLENE 등,유한회사 쿡메디칼코리아,급여,
J4092318,20250401,PROGREAT(LAMBDA),전규격,1EA,306460,TERUMO CLINICAL SUPPLY CO./LTD. ,POLYESTER ELASTOMER RESIN/ PTFE 등,한국테루모(주),급여,
J4092382,20250401,CANTATA SUPERSELECTIVE MICROCATHETER,전규격,1EA,306460,COOK INCORPORATED,PTEE 등,유한회사 쿡메디칼코리아,급여,
J4092482,20250401,CROSSCATH SUPPORT CATHETER,전규격,1EA,306460,COOK INCORPORATED,POLYPROPYLENE,유한회사 쿡메디칼코리아,급여,
J4092927,20250401,ARTEC MICRO CATHETER,전규격,1EA,306460,DALIAN CREATE MEDICAL PRODUCTS CO./ LTD.,PTFE/ HYDROPHILIC COATING 등,솔빛메디칼,급여,
J4093011,20250401,GATEWAY PTA BALLOON CATHETER,전규격,1EA,1043910,BOSTON SCIENTIFIC CORPORATION,POLYAMIDE-POLYETHER-POLYESTER/POLYCARBONATE 등,한국스트라이커,급여,
J4093024,20250401,TRESO PTA BALLOON DILATATION CATHETER FOR NEUROVASCULAR,전규격,1EA,1043910,CGBIO,POLYETHER BLOCK AMIDE 등,(주)시지바이오,급여,
J4093025,20250401,NEUROSPEED PTA BALLOON CATHETER,전규격,1EA,1043910,ACANDIS GMBH,POLYETHER BLOCK AMIDE등,(주)솔빛메디칼,급여,
J4094073,20250401,PENUMBRA SYSTEM-REPERFUSION CATHETER,전규격,1EA,1680030,PENUMBRA/ INC,PEBAX/ POLYURETHANE 등,㈜메디헬프라인,급여,
J4094074,20250401,AXS CATALYST 7 DISTAL ACCESS CATHETER,전규격,1EA,1680030,STRYKER NEUROVASCULAR,POLYURETHANE 등,한국스트라이커,급여,
J4094076,20250401,REACT 68 CATHETER ,전규격,1EA,1680030,MICRO THERAPEUTICS/ INC DBA EV3 NEUROVASCULAR,폴리우레탄 등,메드트로닉코리아,급여,
J4094077,20250401,ESPERANCE ASPIRATION CATHETER,전규격,1EA,1680030,WALLABY MEDICAL/ INC.,POLYETHER BLOCK AMIDE 등,(주)솔빛메디칼,급여,
J4094174,20250401,AXS VECTA ASPIRATION CATHETER,전규격,1EA ,1680030,STRYKER NEUROVASCULAR,PEBAX /PTFE 등 ,한국스트라이커,급여,
J4094175,20250401,EMBOVAC ASPIRATION CATHETER,전규격,1EA,1680030,MEDOS INTERNATIONAL SARL,POLYURETHANE 등,한국존슨앤드존슨메디칼,급여,
J4094176,20250401,REACT 71 CATHETER,전규격,1EA,1680030,MICRO THERAPEUTICS/ INC. DBA EV3 NEUROVASCULAR,폴리우레탄 등,메드트로닉코리아,급여,
J4094274,20250401,AXS VECTA 46 INTERMEDIATE CATHETER ,전규격,1EA,1680030,STRYKER NEUROVASCULAR,폴리테트라플루오로에틸렌 등,한국스트라이커,급여,
J4095018,20250401,PROGREAT CATHETER WITH GUIDE WIRE,전규격,1EA,516530,TERUMO,POLYURETHANE,한국테루모,급여,
J4095076,20250401,MASTERS PARKWAY HF KIT (WITH GUIDE WIRE),CATH:150CM미만 G/W:175CM미만,1EA,516530,ASAHI INTECC CO./ LTD. MEDICAL DIVISION.,POLYURETHANE 등,아사히인텍주식회사 한국영업소,급여,
J4096001,20250401,TREVO RETRIEVER,전규격,1EA,1965710,STRYKER NEUROVASCULAR,NITINOL,한국스트라이커,급여,
J4096013,20250401,REVIVE SE THROMBECTOMY DEVICE,전규격,1EA,1965710,MEDOS INTERNATIONAL SARL,NITINOL,한국존슨앤드존슨메디칼,급여,
J4096027,20250401,SOLITAIRE FR/ SOLITAIRE PLATINUM/ SOLITAIRE X,전규격,1EA,1965710,MICRO THERAPEUTICS/ INC,NITINOL,메드트로닉코리아,급여,
J4096073,20250401,ERIC,전규격,1EA,1965710,MICROVENTION EUROPE,NITINOL,마이크로벤션코리아(유),급여,
J4096113,20250401,EMBOTRAP REVASCULARIZATION DEVICE (II/ III),전규격,1EA,1965710,NEURAVI LIMITED,NITINOL,한국존슨앤드존슨메디칼(주),급여,
J4096127,20250401,PRESET THROMBECTOMY DEVICE,전규격,1EA,1965710,PHENOX LTD,NITINOL,(주)솔빛메디칼,급여,
J4096227,20250401,APERIO HYBRID THROMBECTOMY DEVICE,전규격,1EA,1965710,ACANDIS GMBH,NITINOL,(주)솔빛메디칼,급여,
J4096927,20250401,APERIO THROMBECTOMY DEVICE,전규격,1EA,1965710,ACANDIS GMBH,NITINOL,(주)솔빛메디칼,급여,
J4096928,20250401,트롬바,전규격,1EA,2064000,CGBIO,니켈-타이타늄 합금,(주)시지바이오,급여,
J4099001,20250401,NEPHROMAX NEPHROSTOMY BALLOON DILATATION CATHETER(SHEATH포함),전규격,1EA,234980,BOSTON SCIENTIFIC IRELAND LTD,POLYETHYLENE TEREPHALATE등,보스톤사이언티픽코리아,급여,
J4099068,20250401,X-FORCE N30,전규격,1EA,234980,C.R. BARD/ INC,PET 등,벡톤디킨슨코리아(주),급여,
J4099082,20250401,ULTRAXX NEPHROSTOMY BALLOON,전규격,1EA,234980,COOK INCORPORATED,NYLON 등,유한회사 쿡메디칼코리아,급여,
J4100001,20250401,UROMAX ULTRA BALLOON DILATATION CATHETER,전규격,1EA,251240,BOSTON SCIENTIFIC CORPORATION,NYLON/PET,보스톤사이언티픽코리아,급여,
J4100011,20250401,UROMAX LL BALLOON CATHETER,전규격,1EA,251240,BOSTON SCIENTIFIC CORPORATION,PEMT/POLYETHYLENE,보스톤사이언티픽코리아,급여,
J4100031,20250401,PASSPORT BALLOON DILATATION CATHETER,전규격,1EA,251240,BOSTON SCIENTIFIC CORPORATION,POLYETHYLENE TEREPTHALATE/NYLON,보스톤사이언티픽코리아,급여,
J4100041,20250401,UROMAX ULTRA BALLOON DILATATION CATHETER,전규격,1EA,251240,BOSTON SCIENTIFIC IRELAND/ LTD,NYLON/PET,보스톤사이언티픽코리아,급여,
J4100068,20250401,X-FORCE U30,전규격,1EA,251240,C.R.BARD/ INC,PET+URETHANE 등,벡톤디킨슨코리아(주),급여,
J4102001,20250401,RETRIVAL BALLOON,전규격,1EA,195780,BOSTON SCIENTIFIC CORPORATION,ETHYLENE VINYL ACETATE,보스톤사이언티픽코리아,급여,
J4102002,20250401,ESCORT BALLOON CATHETER,전규격,1EA,195780,WILSON-COOK,NATURAL LATEX/ RADIOPAQUE PLATINUM BAND,유한회사 쿡메디칼코리아,급여,
J4102003,20250401,STONE RETRIEVAL BALLOON CATHETER,전규격,1EA,195780,MICRO-TECH (NANJING) CO./ LTD.,NATURAL LATEX등,(주)제마헬스케어,급여,
J4102004,20250401,STONE EXTRACTION BALLOON,전규격,1EA,195780,MEDWORK GMBH,LATEX/ POLYAMIDE 등,엠아이텍,급여,
J4102011,20250401,EXTRACTOR RX RETRIEVAL BALLOON,전규격,1EA,195780,BOSTON SCIENTIFIC CORK LTD,LATEX/NYLON등,보스톤사이언티픽코리아,급여,
J4102012,20250401,TRIPLE LUMEN BALLOON CATHETER,전규격,1EA,195780,WILSON-COOK,NATURAL LATEX/ RADIOPAQUE PLATINUM BAND,유한회사 쿡메디칼코리아,급여,
J4102022,20250401,FUSION QUATTRO EXTRACTION BALLOON,전규격,1EA,195780,WILSON-COOK MEDICAL INC,PLATINUM/NYLON 등,유한회사 쿡메디칼코리아,급여,
J4102062,20250401,담관결석제거용풍선카테터,전규격,1EA,195780,ENDO FLEX GMBH,PEBAX/PA BLEND/ LATEX ,피온메디칼,급여,
J4102078,20250401,EXTRACTION BALLOON CATHETER,전규격,1EA,195780,ENDO FLEX GMBH,LATEX/ POLYETHYLENE,현주인테크,급여,
J4102101,20250401,MULTI-3V EXTRACTION BALLOON,전규격,1EA,195780,OLYMPUS MEDICAL SYSTEMS CORPORATION,NATURAL LATEX,올림푸스한국,급여,
J4102105,20250401,STONE EXTRACTION BALLOON,전규격,1EA,195780,MEDI-GLOBE GMBH,POLYISOPRENE/ PALLADIUM METAL RADIOPAQUE/ POLYETHYLENE,주식회사 아시안메디칼시스템즈,급여,
J4102118,20250401,BALLOON CATHETER,전규격,1EA,195780,MTW-ENDOSKOPIE W. HAAG KG,LATEX/ POLYAMIDE 등,지인씨앤티,급여,
J4102201,20250401,MULTI-3V PLUS,전규격,1EA,195780,OLYMPUS MEDICAL SYSTEMS CORPORATION,POLYCARBONATE + 천연고무 등,올림푸스한국,급여,
J4103001,20250401,HURRICANE RX BILIARY BALLOON DILATATION CATHETER,전규격,1EA,246330,BOSTON SCIENTIFIC CORK LIMITED,나일론 등,보스톤사이언티픽코리아,급여,
J4103082,20250401,FUSION TITAN BILIARY DILATION BALLOON,전규격,1EA,246330,COOK INCORPORATED,POLYETHER POLYAMIDE COPOLYMER 등,유한회사 쿡메디칼코리아,급여,
