코 드,적용일자,급여구분,상한가,사용장려비,투여경로,품명,규 격,단 위,제약회사명,분류번호,주성분코드,전문/일반,퇴장방지구분,약품동등구분,저가약대체여부,예외의약구분,임의조제불가,고시일자,대응코드,희귀의약품구분,
642506930,2026-01-01,급여,24682,,내복,글리닙정400밀리그램(이매티닙메실산염)_(0.478g/1정),1,정,동아에스티(주),421,412703ATB,전문의약품,,,,,,2025-12-24,,,2013-06-04
642506940,2026-01-01,급여,10427,,내복,글리닙정100밀리그램(이매티닙메실산염)_(0.1195g/1정),1,정,동아에스티(주),421,412701ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,2013-06-04
642507071,2026-01-01,급여,22007,,주사,류코스팀주사액프리필드시린지(필그라스팀(유전자재조합))_(75μg/0.25mL),0.25,mL/관,동아에스티(주),339,158936BIJ,전문의약품,,,,,,2025-12-24,,,
642507081,2026-01-01,급여,30959,,주사,류코스팀주사액프리필드시린지(필그라스팀(유전자재조합))_(0.15mg/0.5mL),0.5,mL/관,동아에스티(주),339,158934BIJ,전문의약품,,,,,,2025-12-24,,,
642507091,2026-01-01,급여,54582,,주사,류코스팀주사액프리필드시린지(필그라스팀(유전자재조합))_(0.3mg/1mL),1,mL/관,동아에스티(주),339,158935BIJ,전문의약품,,,,,,2025-12-24,,,
642507111,2026-01-01,급여,546524,,주사,듀라스틴주사액프리필드시린지(트리페그필그라스팀)_(6mg/0.6mL),0.6,mL/관,동아에스티(주),339,628330BIJ,전문의약품,,,,,,2025-12-24,,,
642507251,2026-01-01,급여,588749,,주사,메인타주사액800밀리그램(페메트렉시드이나트륨2.5수화물)_(0.96656g/1병),1,병,동아에스티(주),421,481234BIJ,전문의약품,,,,,,2025-12-24,,,
642507290,2026-01-01,급여,176,,내복,스티렌투엑스정(애엽95%에탄올연조엑스(20→1))_(90mg/1정),1,정,동아에스티(주),232,430102ATB,전문의약품,,,,,,2025-12-24,,,
642507491,2026-01-01,급여,144262,,주사,메인타주사액100밀리그램(페메트렉시드이나트륨2.5수화물)_(0.12082g/2mL),2,mL/병,동아에스티(주),421,481239BIJ,전문의약품,,,,,,2025-12-24,,,
642507540,2026-01-01,급여,232,0,내복,가스터디정20㎎(파모티딘)_(20mg/1정),1,정,동아에스티(주),232,157302ATD,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642507560,2026-01-01,급여,530,,내복,라비듀오정10/500밀리그램(라베프라졸나트륨/탄산수소나트륨)_(1정),1,정,동아에스티(주),232,704600ATB,전문의약품,,,,,,2025-12-24,,,
642507570,2026-01-01,급여,1068,,내복,라비듀오정20/500밀리그램_(1정),1,정,동아에스티(주),232,705900ATB,전문의약품,,,,,,2025-12-24,,,
642507651,2026-01-01,급여,1365,,주사,가스터주사액20밀리그램(파모티딘)_(20mg/1병),10,mL/병,동아에스티(주),232,157302BIJ,전문의약품,,,,,,2025-12-24,,,
642507680,2026-01-01,급여,2472,,내복,베믈리아정(테노포비르알라페나미드시트르산염)_(35.08mg/1정),1,정,동아에스티(주),391,715101ATB,전문의약품,,,,,,2025-12-24,,,
642700210,2026-01-01,급여,2439,,내복,돈페질정10밀리그램(도네페질염산염일수화물)_(10.43mg/1정),1,정,동화약품(주),119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642700420,2026-01-01,급여,631,,내복,동화메만틴정(메만틴염산염)_(10mg/1정),1,정,동화약품(주),119,190001ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642701100,2026-01-01,급여,1488,,내복,디푸란캡슐(플루코나졸)_(50mg/1캡슐),1,캡슐,동화약품(주),629,159903ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642702062,2026-01-01,급여,2938,,외용,스테파론액(플루오시노니드)_(17.5mg/35mL),35,mL/병,동화약품(주),264,160834CLQ,전문의약품,,,,,,2025-12-24,,,
642702150,2026-01-01,급여,626,,내복,심바틴정20밀리그람(수출명:Austin)(심바스타틴)_(20mg/1정),1,정,동화약품(주),218,227801ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642703000,2026-01-01,급여,3768,,내복,클로비어정(팜시클로비르)_(0.25g/1정),1,정,동화약품(주),629,157201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642703460,2026-01-01,급여,134,,내복,파인디핀정(암로디핀말레산염)_(6.42mg/1정),1,정,동화약품(주),214,459801ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642703571,2026-01-01,급여,4194,,주사,판토프라주(판토프라졸나트륨세스키히드레이트)_(45.1mg/1병),1,병,동화약품(주),232,208801BIJ,전문의약품,,,,,,2025-12-24,,,
642704270,2026-01-01,급여,1538,,내복,돈페질정5밀리그램(도네페질염산염일수화물)_(5.215mg/1정),1,정,동화약품(주),119,148602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642704470,2026-01-01,급여,452,,내복,에탈로프정10밀리그램(에스시탈로프람옥살산염)_(12.77mg/1정),1,정,동화약품(주),117,474802ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705320,2026-01-01,급여,1171,,내복,아토스타정40mg(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),1,정,동화약품(주),218,111503ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705690,2026-01-01,급여,1312,,내복,올자핀정10밀리그램(올란자핀)_(10mg/1정),1,정,동화약품(주),117,204001ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705710,2026-01-01,급여,626,,내복,올자핀정2.5밀리그램(올란자핀)_(2.5mg/1정),1,정,동화약품(주),117,204004ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705720,2026-01-01,급여,749,,내복,올자핀정5밀리그램(올란자핀)_(5mg/1정),1,정,동화약품(주),117,204002ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705730,2026-01-01,급여,140,,내복,스타넵틴정(티아넵틴나트륨)_(12.5mg/1정),1,정,동화약품(주),117,229601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642705770,2026-01-01,급여,658,,내복,에탈로프정20밀리그램(에스시탈로프람옥살산염)_(25.54mg/1정),1,정,동화약품(주),117,474803ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642706170,2026-01-01,급여,2434,,내복,디푸란캡슐150밀리그램(플루코나졸)_(0.15g/1캡슐),1,캡슐,동화약품(주),629,159905ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642706230,2026-01-01,급여,420,,내복,클자핀정100밀리그램(클로자핀)_(0.1g/1정),1,정,동화약품(주),117,137501ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642706240,2026-01-01,급여,162,,내복,클자핀정25밀리그램(클로자핀)_(25mg/1정),1,정,동화약품(주),117,137502ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642706270,2026-01-01,급여,1143,,내복,아리피코정15밀리그램(아리피프라졸)_(15mg/1정),1,정,동화약품(주),117,451502ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,2014-03-17
642706340,2026-01-01,급여,3994,,내복,자보란테정(자보플록사신D-아스파르트산염수화물)_(0.51298g/1정),1,정,동화약품(주),629,637101ATB,전문의약품,,,,,,2025-12-24,,,
642706520,2026-01-01,급여,302,,내복,에탈로프정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),1,정,동화약품(주),117,474801ATB,전문의약품,,,,,,2025-12-24,,,
642706610,2026-01-01,급여,240,,내복,클자핀정50밀리그램(클로자핀)_(50mg/1정),1,정,동화약품(주),117,137503ATB,전문의약품,,,,,,2025-12-24,,,
642706630,2026-01-01,급여,627,,내복,클자핀정200밀리그램(클로자핀)_(0.2g/1정),1,정,동화약품(주),117,137504ATB,전문의약품,,,,,,2025-12-24,,,
642706940,2026-01-01,급여,287,,내복,모사피드에스알정15밀리그램(모사프리드시트르산염수화물)_(15.88mg/1정),1,정,동화약품(주),239,421004ATR,전문의약품,,,,,,2025-12-24,,,
642707060,2026-01-01,급여,1113,,내복,리바코르정20밀리그램(리바록사반)_(20mg/1정),1,정,동화약품(주),333,511403ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642707070,2026-01-01,급여,1113,,내복,리바코르정15밀리그램(리바록사반)_(15mg/1정),1,정,동화약품(주),333,511402ATB,전문의약품,,,,,,2025-12-24,,,
642707140,2026-01-01,급여,626,,내복,테디엠정20밀리그램(테네리글립틴염산염수화물)_(26mg/1정),1,정,동화약품(주),396,695301ATB,전문의약품,,,,,,2025-12-24,,,
642707330,2026-01-01,급여,737,,내복,동화쿠에티아핀정300밀리그램(쿠에티아핀푸마르산염)_(0.34539g/1정),1,정,동화약품(주),117,378604ATB,전문의약품,,,,,,2025-12-24,,,
642707340,2026-01-01,급여,519,,내복,동화쿠에티아핀정100밀리그램(쿠에티아핀푸마르산염)_(0.11513g/1정),1,정,동화약품(주),117,378602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642707350,2026-01-01,급여,712,,내복,동화쿠에티아핀정200밀리그램(쿠에티아핀푸마르산염)_(0.23026g/1정),1,정,동화약품(주),117,378603ATB,전문의약품,,,,,,2025-12-24,,,
642707360,2026-01-01,급여,219,,내복,동화쿠에티아핀정25밀리그램(쿠에티아핀푸마르산염)_(28.78mg/1정),1,정,동화약품(주),117,378601ATB,전문의약품,,,,,,2025-12-24,,,
642707370,2026-01-01,급여,457,,내복,아리피코정5밀리그램(아리피프라졸(미분화))_(5mg/1정),1,정,동화약품(주),117,451503ATB,전문의약품,,,,,,2025-12-24,,,
642707540,2026-01-01,급여,358,,내복,동화니세르골린정30밀리그램(니세르골린)_(30mg/1정),1,정,동화약품(주),219,201203ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800010,2026-01-01,급여,582,,내복,가바틴정600밀리그램(가바펜틴)_(0.6g/1정),1,정,고려제약(주),113,164204ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800020,2026-01-01,급여,627,,내복,가바틴정800밀리그램(가바펜틴)_(0.8g/1정),1,정,고려제약(주),113,164205ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800030,2026-01-01,급여,184,,내복,가바틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),1,캡슐,고려제약(주),113,164201ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800040,2026-01-01,급여,389,,내복,가바틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),1,캡슐,고려제약(주),113,164202ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800050,2026-01-01,급여,439,,내복,가바틴캡슐400밀리그람(가바펜틴)_(0.4g/1캡슐),1,캡슐,고려제약(주),113,164203ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800220,2026-01-01,급여,1779,,내복,뉴로셉트정10밀리그람(도네페질염산염)_(10mg/1정),1,정,고려제약(주),119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800360,2026-01-01,급여,872,,내복,란시드캡슐(란소프라졸)[수출명:란프라시드캡슐(LANPRACIDCapsule)]_(30mg/1캡슐),1,캡슐,고려제약(주),232,181301ACE,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800370,2026-01-01,급여,583,,내복,란시드캡슐15밀리그램(란소프라졸)_(15mg/1캡슐),1,캡슐,고려제약(주),232,181302ACE,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800450,2026-01-01,급여,820,,내복,로피맥스정2밀리그램(로피니롤염산염)_(2.28mg/1정),1,정,고려제약(주),119,224902ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642800752,2026-01-01,급여,21150,,외용,베타베이트크림(클로베타솔프로피오네이트)_(0.25g/500g),500,g/병,고려제약(주),264,135844CCM,전문의약품,,,,,,2025-12-24,,,
642801570,2026-01-01,급여,625,,내복,플라메드정(클로피도그렐황산염)[수출명:플라독스정(FLADOXTablet)_(97.875mg/1정),1,정,고려제약(주),218,136901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642801890,2026-01-01,급여,436,,내복,로피맥스정1밀리그램(로피니롤염산염)_(1.14mg/1정),1,정,고려제약(주),119,224901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802140,2026-01-01,급여,1149,,내복,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염)_(10.25mg/1캡슐),1,캡슐,고려제약(주),119,385204ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802350,2026-01-01,급여,1905,,내복,뉴멘타민서방캡슐16밀리그램(갈란타민브롬화수소산염)_(20.51mg/1캡슐),1,캡슐,고려제약(주),119,385205ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802390,2026-01-01,급여,1346,,내복,자이피스오디정 10밀리그램(올란자핀)_(10mg/1정),1,정,고려제약(주),117,204001ATD,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802410,2026-01-01,급여,441,,내복,프레가린캡슐75밀리그램(프레가발린)_(75mg/1캡슐),1,캡슐,고려제약(주),119,480401ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802420,2026-01-01,급여,714,,내복,자이피스오디정 5밀리그램(올란자핀)_(5mg/1정),1,정,고려제약(주),117,204002ATD,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802510,2026-01-01,급여,543,,내복,프레가린캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),1,캡슐,고려제약(주),119,480402ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802960,2026-01-01,급여,360,,내복,라사로틴정100밀리그램(라코사미드)_(0.1g/1정),1,정,고려제약(주),113,611703ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642802970,2026-01-01,급여,216,,내복,라사로틴정50밀리그램(라코사미드)_(50mg/1정),1,정,고려제약(주),113,611702ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642803040,2026-01-01,급여,444,,내복,디멘스타정(콜린알포세레이트)_(0.4g/1정),1,정,고려제약(주),119,138101ATB,전문의약품,,,,,,2025-12-24,,,
642803070,2026-01-01,급여,696,,내복,프레가린캡슐300밀리그램(프레가발린)_(0.3g/1캡슐),1,캡슐,고려제약(주),119,480403ACH,전문의약품,,,,,,2025-12-24,,,
642803090,2026-01-01,급여,398,,내복,프레가린캡슐50밀리그램(프레가발린)_(50mg/1캡슐),1,캡슐,고려제약(주),119,480406ACH,전문의약품,,,,,,2025-12-24,,,
642803190,2026-01-01,급여,850,,내복,로피맥스피디정8밀리그램(로피니롤염산염)_(9.12mg/1정),1,정,고려제약(주),119,224906ATR,전문의약품,,,,,,2025-12-24,,,
642803200,2026-01-01,급여,682,,내복,로피맥스피디정4밀리그램(로피니롤염산염)_(4.56mg/1정),1,정,고려제약(주),119,224905ATR,전문의약품,,,,,,2025-12-24,,,
642803210,2026-01-01,급여,379,,내복,로피맥스피디정2밀리그램(로피니롤염산염)_(2.28mg/1정),1,정,고려제약(주),119,224902ATR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642803270,2026-01-01,급여,1813,,내복,라질렌정(라사길린메실산염)_(1.56mg/1정),1,정,고려제약(주),119,625201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642803310,2026-01-01,급여,336,,내복,엑소시움정20밀리그램(에스오메프라졸마그네슘삼수화물)_(22.25mg/1정),1,정,고려제약(주),232,367201ATB,전문의약품,,,,,,2025-12-24,,,
642803380,2026-01-01,급여,1107,,내복,자네트정10밀리그램(리바록사반)_(10mg/1정),1,정,고려제약(주),333,511401ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642803390,2026-01-01,급여,1110,,내복,자네트정15밀리그램(리바록사반)_(15mg/1정),1,정,고려제약(주),333,511402ATB,전문의약품,,,,,,2025-12-24,,,
642803400,2026-01-01,급여,1111,,내복,자네트정20밀리그램(리바록사반)_(20mg/1정),1,정,고려제약(주),333,511403ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900250,2026-01-01,급여,479,,내복,레보펙신정(레보플록사신수화물)_(0.1g/1정),1,정,일동제약(주),629,183201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900260,2026-01-01,급여,902,,내복,레보펙신정250밀리그램(레보플록사신수화물)_(0.25615g/1정),1,정,일동제약(주),629,183202ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900270,2026-01-01,급여,1408,,내복,레보펙신정500밀리그램(레보플록사신수화물)_(0.5123g/1정),1,정,일동제약(주),629,183203ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900281,2026-01-01,급여,8579,,주사,레보펙신주(레보플록사신수화물)_(0.25623g/50mL),50,mL/병,일동제약(주),629,183233BIJ,전문의약품,,,,,,2025-12-24,,,
642900291,2026-01-01,급여,12825,,주사,레보펙신주(레보플록사신수화물)_(0.51246g/100mL),100,mL/병,일동제약(주),629,183234BIJ,전문의약품,,,,,,2025-12-24,,,
642900500,2026-01-01,급여,817,,내복,메만토정10밀리그램(메만틴염산염)_(10mg/1정),1,정,일동제약(주),119,190001ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900590,2026-01-01,급여,342,,내복,벤디핀정(베니디핀염산염)_(4mg/1정),1,정,일동제약(주),214,115102ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900610,2026-01-01,급여,502,,내복,벤디핀정8밀리그램(베니디핀염산염)_(8mg/1정),1,정,일동제약(주),214,115103ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900690,2026-01-01,급여,423,,내복,사미온정30밀리그램(니세르골린)_(30mg/1정),1,정,일동제약(주),219,201203ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900900,2026-01-01,급여,438,,내복,싸이신정250밀리그램(시프로플록사신염산염)_(0.291g/1정),1,정,일동제약(주),629,134103ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900910,2026-01-01,급여,979,,내복,싸이신정500밀리그램(시프로플록사신염산염)_(0.582g/1정),1,정,일동제약(주),629,134105ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642900942,2026-01-01,급여,8904,,주사,싸이신주사400밀리그램(시프로플록사신)_(0.4g/200mL/팩),200,mL/팩,일동제약(주),629,134135BIJ,전문의약품,,,,,,2025-12-24,,,
642900970,2026-01-01,급여,703,,내복,씨라클정250밀리그램(클래리트로마이신)_(0.25g/1정),1,정,일동제약(주),619,134901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642901291,2026-01-01,급여,2152,,외용,에펙신안연고(오플록사신)_(10.5mg/3.5g),3.5,g/개,일동제약(주),131,203934COO,전문의약품,,,,,,2025-12-24,,,
642901301,2026-01-01,급여,1999,,외용,에펙신이용액(오플록사신)_(15mg/5mL),5,mL/병,일동제약(주),132,203936CLQ,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642901371,2026-01-01,급여,199,0,내복,엘칸액(엘-카르니틴)_(30g/100mL),100(1),mL/병,일동제약(주),219,124531ALQ,일반의약품,,,,,,2025-12-24,,,
642901391,2026-01-01,급여,1165,,주사,엘칸주사1그램(엘-카르니틴)_(1g/5mL),5,mL/앰플,일동제약(주),219,124530BIJ,전문의약품,,,,,,2025-12-24,,,
642901550,2026-01-01,급여,282,,내복,이부스트린정200밀리그램(인도부펜)_(0.2g/1정),1,정,일동제약(주),339,174701ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642901590,2026-01-01,급여,1044,,내복,라비에트정20밀리그램(라베프라졸나트륨)_(20mg/1정),1,정,일동제약(주),232,222202ATE,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642901691,2026-01-01,급여,6329,,주사,일동아드리아마이신피.에프.에스.주사액10밀리그램(독소루비신염산염)_(10mg/5mL),5,mL/병,일동제약(주),617,149430BIJ,전문의약품,,,,,,2025-12-24,,,
642901701,2026-01-01,급여,29865,,주사,일동아드리아마이신피.에프.에스.주사액50밀리그램(독소루비신염산염)_(50mg/25mL),25,mL/병,일동제약(주),617,149432BIJ,전문의약품,,,,,,2025-12-24,,,
642901951,2026-01-01,급여,6698,,주사,일동후루마린주사0.5그램(플로목세프나트륨)_(0.5g/1병),1,병,일동제약(주),618,159501BIJ,전문의약품,,,,,,2025-12-24,,,
642902000,2026-01-01,급여,520,,내복,치오큐오디정600밀리그램(티옥트산)_(0.6g/1정),1,정,일동제약(주),399,250902ATR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902091,2026-01-01,급여,2787,,외용,케노펜겔(케토프로펜)_(1.5g/50g),50,g/개,일동제약(주),264,179733CCM,일반의약품,,,,,,2025-12-24,,,
642902092,2026-01-01,급여,11172,,외용,케노펜겔(케토프로펜)_(6g/200g),200,g/개,일동제약(주),264,179736CCM,일반의약품,,,,,,2025-12-24,,,
642902240,2026-01-01,급여,4017,,주사,타조락탐주2.25그램(피페라실린나트륨·타조박탐나트륨)_(1병),1,병,일동제약(주),618,329500BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642902250,2026-01-01,급여,5698,,주사,타조락탐주4.5그램(피페라실린나트륨·타조박탐나트륨)_(1병),1,병,일동제약(주),618,329600BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642902271,2026-01-01,급여,20495,,주사,테이코신주(테이코플라닌)_(0.2g/1병),1,병,일동제약(주),611,234901BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642902281,2026-01-01,급여,24228,,주사,테이코신주400밀리그램(테이코플라닌)_(0.4g/1병),1,병,일동제약(주),611,234902BIJ,전문의약품,,,,,,2025-12-24,,,
642902290,2026-01-01,급여,889,,내복,토파메드정100밀리그램(토피라메이트)_(0.1g/1정),1,정,일동제약(주),113,241801ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902300,2026-01-01,급여,385,,내복,토파메드정25밀리그램(토피라메이트)_(25mg/1정),1,정,일동제약(주),113,241803ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902310,2026-01-01,급여,913,,내복,트롬빅스정(클로피도그렐황산염)_(97.875mg/1정),1,정,일동제약(주),218,136901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902391,2026-01-01,급여,3396,,주사,판토메드주사(판토프라졸나트륨세스키히드레이트)_(45.1mg/1병),1,병,일동제약(주),232,208801BIJ,전문의약품,,,,,,2025-12-24,,,
642902400,2026-01-01,급여,3714,,내복,팜비어정250밀리그램(팜시클로비르)_(0.25g/1정),1,정,일동제약(주),629,157201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902570,2026-01-01,급여,354,,내복,후로목스정100밀리그램(세프카펜피복실염산염수화물)_(0.1g/1정),1,정,일동제약(주),618,474402ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902670,2026-01-01,급여,211,,내복,큐티핀정25밀리그램(쿠에티아핀푸마르산염)_(28.78mg/1정),1,정,일동제약(주),117,378601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902710,2026-01-01,급여,153,,내복,세타마돌정_(1정),1,정,일동제약(주),114,513000ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902720,2026-01-01,급여,123,,내복,세타마돌세미정_(1정),1,정,일동제약(주),114,480600ATB,전문의약품,,,,,,2025-12-24,,,
642902820,2026-01-01,급여,1083,,내복,아지탑스정250밀리그램(아지트로마이신수화물)_(0.26203g/1정),1,정,일동제약(주),614,112701ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902831,2026-01-01,급여,11295,,주사,아지탑스주사500밀리그램(아지트로마이신수화물)_(0.5241g/1병),1,병,일동제약(주),614,112734BIJ,전문의약품,,,,,,2025-12-24,,,
642902840,2026-01-01,급여,2094,,내복,디멘셉트정10밀리그램(도네페질염산염수화물)_(10.41mg/1정),1,정,일동제약(주),119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902850,2026-01-01,급여,711,,내복,리피스톱정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),1,정,일동제약(주),218,111502ATB,전문의약품,,,,,,2025-12-24,,,
642902880,2026-01-01,급여,523,,내복,라비에트정10밀리그램(라베프라졸나트륨)_(10mg/1정),1,정,일동제약(주),232,222201ATE,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902890,2026-01-01,급여,581,,내복,큐티핀정100밀리그램(쿠에티아핀푸마르산염)_(0.11512g/1정),1,정,일동제약(주),117,378602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642902900,2026-01-01,급여,836,,내복,큐티핀정200밀리그램(쿠에티아핀푸마르산염)_(0.23024g/1정),1,정,일동제약(주),117,378603ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642903080,2026-01-01,급여,1782,,내복,디멘셉트정5밀리그램(도네페질염산염수화물)_(5.2mg/1정),1,정,일동제약(주),119,148602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642903121,2026-01-01,급여,13599,,주사,레보펙신주(레보플록사신수화물)_(0.76869g/150mL),150,mL/병,일동제약(주),629,183235BIJ,전문의약품,,,,,,2025-12-24,,,
642903412,2026-01-01,급여,6570,,주사,싸이신주사200밀리그램(시프로플록사신)_(0.2g/100mL/팩),100,mL/팩,일동제약(주),629,134134BIJ,전문의약품,,,,,,2025-12-24,,,
642903781,2026-01-01,급여,105274,,주사,탁소젠주사(도세탁셀삼수화물)_(26.0348mg/0.61mL),0.61,mL/병,일동제약(주),421,148346BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642903791,2026-01-01,급여,344825,,주사,탁소젠주사(도세탁셀삼수화물)_(0.1007248g/2.36mL),2.36,mL/병,일동제약(주),421,148350BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642903861,2026-01-01,급여,9118,,외용,모니타존나잘스프레이(모메타손푸로에이트)_(7mg/140회),140,회/통,일동제약(주),132,361331CSI,전문의약품,,,,,,2025-12-24,,,
642904190,2026-01-01,급여,740,,내복,칸데로탄정16밀리그램(칸데사르탄실렉세틸)_(16mg/1정),1,정,일동제약(주),214,122602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642904240,2026-01-01,급여,935,,내복,디오패스정160밀리그램(발사르탄)_(0.16g/1정),1,정,일동제약(주),214,247102ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
642904461,2026-01-01,급여,121438,,주사,알지크주사100밀리그램(페메트렉시드이나트륨염2.5수화물)_(0.1208g/1병),1,병,일동제약(주),421,481230BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642904471,2026-01-01,급여,451058,,주사,알지크주사500밀리그램(페메트렉시드이나트륨염2.5수화물)_(0.6041g/1병),1,병,일동제약(주),421,481231BIJ,전문의약품,,생동(사후통보),,,,2025-12-24,,,
642904480,2026-01-01,급여,16402,,내복,이바본정150밀리그램(이반드론산나트륨일수화물)_(0.16875g/1정),1,정,일동제약(주),399,480304ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
